Sample,PRK00290,latitude_deg,longitude_deg,EMPO1,EMPO2,EMPO3
1622.PP.91.92A,1.136366516743863,42.30844,-71.3412,Free-living,Non-saline,Sediment (non-saline)
1774.37Fecal23.10.09,1.0283973176056191,-2.4153,-64.9144,Host-associated,Animal,Animal distal gut
1632.E3A02.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,0.987887240953656,37.34600556,-3.061197222,Host-associated,Animal,Animal surface
925.IB5z,1.0098663926002056,44.532,-110.876,Free-living,Non-saline,Surface (non-saline)
945.P12.B1.lane3.NoIndex.L003,1.088766976638522,53.517,12.7,Free-living,Non-saline,Water (non-saline)
804.3869.1446,1.1026225714858535,30.123934,-42.120154,Free-living,Saline,Surface (saline)
905.SA.Station.1.tF,1.0068143830991572,58.22,11.37,Free-living,Saline,Sediment (saline)
2229.W1.T33.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0255646553029156,-41.8693,148.303,Host-associated,Plant,Plant surface
2229.W2.T31.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0220304855271192,-41.9088,148.3213,Host-associated,Plant,Plant surface
933.N.1.1.S.E.2,0.9933822862841084,-33.9998,151.2467167,Host-associated,Plant,Plant surface
678.OA.mesocosm.406,0.9937704306265004,50.338,-4.148,Free-living,Saline,Sediment (saline)
2192.H04a.Nose.1905.lane6.NoIndex.L006,0.7286687196511509,41.88,-87.63,Host-associated,Animal,Animal secretion
2229.S1.T33.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0118899606858465,-41.8693,148.303,Host-associated,Plant,Plant surface
2192.H02a.Kitchen.Light.Switch.867.lane2.NoIndex.L002,0.9544876240191768,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1883.2005.083.Crump.Artic.LTREB.main.lane1.NoIndex,1.1414705359961406,68.57478333,-149.58205,Free-living,Non-saline,Water (non-saline)
1883.2008.086.Crump.Artic.LTREB.main.lane2.NoIndex,1.077212008601891,68.57366667,-149.5371667,Free-living,Non-saline,Sediment (non-saline)
940.CR.18.Ventral,0.987208896600135,39.1,-108.36,Host-associated,Animal,Animal surface
2192.H03a.Bedroom.Floor.1516.lane5.NoIndex.L005,0.6477327033078943,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1747.boga.23290.skin,1.0465402157401205,30.47,-81.67,Host-associated,Animal,Animal surface
550.L6S213.s.6.sequence,0.7517998993864671,40.015,-105.271,Host-associated,Animal,Animal secretion
1056.Tol.mat.Cinci.3,1.0752342619540065,39.167,-84.5,Host-associated,Animal,Animal distal gut
807.C.F.11.b,1.24579107561346,45.942894,-106.949183,Free-living,Non-saline,Sediment (non-saline)
963.Iguana.210.060711.BVP.vial.885,0.8372104809151573,9.186,-79.83,Host-associated,Animal,Animal distal gut
925.SI3z,1.5617695437624448,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
1235.sp1926,1.0028057476456849,78.933,11.883,Free-living,Saline,Water (saline)
1222.B6.5.11.06,1.0061132502050705,60.27,5.22,Free-living,Saline,Water (saline)
2229.S2.T2.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0368889629494888,-43.0325,147.946,Host-associated,Plant,Plant surface
1288.CB12July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence,1.0342601030402907,37.09,-95.71,Free-living,Non-saline,Water (non-saline)
2229.W2.N1.7.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0156952659081708,-33.8006,151.2971,Host-associated,Plant,Plant surface
1773.Columb.passer10.gizz,0.9789695833627235,11.035278,63.845556,Host-associated,Animal,Animal proximal gut
1001.SKB8,1.0160452294871305,33.194,-117.241,Host-associated,Plant,Plant rhizosphere
2382.HE003.C181.HA.5.775.gp.9.12.lane8.NoIndex.L008.sequences,1.9910340705319785,41.01036,-72.53056,Host-associated,Plant,Plant corpus
1235.sp1023,1.0559559538548864,78.933,11.883,Free-living,Saline,Water (saline)
1041.S001.10m.off.bottom,0.9812296631853792,46.993,-85.162,Free-living,Non-saline,Water (non-saline)
1622.UPSub.221.222A,0.784027372015085,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1694.St3E2.r.EMPbird.v4.NoIndex.L001,1.012534753990475,37.252803,-3.029153,Host-associated,Animal,Animal surface
1521.228.1.1.s.7.1.sequences,1.0500530689314336,46.35,-119.94,Free-living,Non-saline,Water (non-saline)
905.PLO6.t2.OSCOX.0to1cm.1,1.0024390802918262,58.322,11.534,Free-living,Saline,Sediment (saline)
1883.2010.293A.Crump.Artic.LTREB.main.lane3.NoIndex,1.1017316717158918,68.585839,-149.622223,Free-living,Non-saline,Soil (non-saline)
678.seasonal.insitu.sample.549,1.0820129484804466,50.338,-4.148,Free-living,Saline,Sediment (saline)
933.T.3.3.H.E.5,1.006490624220301,-43.136867,147.969883,Host-associated,Plant,Plant surface
1774.338.Skin.Puer,0.9760158639983108,18.47,-66.11,Host-associated,Animal,Animal surface
1240.0707B,1.027029013255659,50.15,-4.13,Free-living,Saline,Water (saline)
2192.H07b.Kitchen.Light.Switch.3963.lane2.NoIndex.L002,0.915516162429279,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
723.C7.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,0.734132695621197,78.712,-104.878,Free-living,Saline,Water (saline)
1622.UPSub.52.53,0.6666016458234255,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1288.SSBH30June08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence,1.0022581873100274,37.09,-95.71,Free-living,Non-saline,Water (non-saline)
1642.MS00523,1.244290604928106,35.117,138.937,Host-associated,Plant,Plant rhizosphere
1883.2009.324.Crump.Artic.LTREB.main.lane3.NoIndex,1.019465002439189,68.60853333,-149.587633,Free-living,Non-saline,Soil (non-saline)
1197.SE.20100928.GY.NF008.BC.093,1.1473583701092596,28.720005,-88.38844,Free-living,Saline,Sediment (saline)
1773.Columb.talpa2.lgi,0.9308245229611536,10.461667,66.839444,Host-associated,Animal,Animal distal gut
722.SLEpi20M.7.s.8.1.sequence,0.9783193610286676,46.009,-89.701,Free-living,Non-saline,Water (non-saline)
1453.46834SDZ4.C4.Pnem.jeju,1.018498828726301,32.72,-117.16,Host-associated,Animal,Animal proximal gut
1747.kawan.407319.fecal,0.3241953976804037,30.404,-81.643,Host-associated,Animal,Animal distal gut
2338.0701.2.M,0.8634220497551107,9.75,-83.75,Host-associated,Animal,Animal distal gut
1665.flipper.tag.51,1.007298402030374,41.67293,-70.33909,Host-associated,Animal,Animal surface
1481.NA.04.T0,1.091238431638452,40.7,14.5,Host-associated,Animal,Animal distal gut
1242.ME20Nov02EB1R1,0.8442832786157417,43.107,-89.425,Free-living,Non-saline,Water (non-saline)
1198.NOR08.STA1.CORE3.1of3,1.064571697695211,78.237,15.677,Free-living,Saline,Sediment (saline)
2192.H02a.Foot.656.lane2.NoIndex.L002,1.0005988164631996,41.88,-87.63,Host-associated,Animal,Animal surface
1774.474.Oral.Puer,0.999776112348482,18.47,-66.11,Host-associated,Animal,Animal secretion
1235.sp1149,1.1671102170112584,78.933,11.883,Free-living,Saline,Water (saline)
1748.5.18.12.R.11.V,0.6285501759459925,40.01,-105.271,Host-associated,Animal,Animal surface
933.T.2.1.H.E.4,1.002603978300181,-41.908767,148.321267,Host-associated,Plant,Plant surface
1064.W.CV130,0.9993340846224772,18.22,-65.99,Host-associated,Animal,Animal corpus
925.IJ4x,1.717547090093765,44.531,-110.876,Free-living,Non-saline,Surface (non-saline)
1235.sp0368,1.4005559728685657,78.933,11.883,Free-living,Saline,Water (saline)
1883.2008.005.Crump.Artic.LTREB.main.lane2.NoIndex,0.9594540762252,68.571037,-149.565214,Free-living,Non-saline,Water (non-saline)
958.N.21,0.8095780499274294,40.863,14.273,Host-associated,Animal,Animal secretion
2192.H04a.Kitchen.Light.Switch.1827.lane5.NoIndex.L005,0.8722258756430191,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1242.ME17Jan01EB1R1,0.9427663503475576,43.107,-89.425,Free-living,Non-saline,Water (non-saline)
1717.32.high.fertilizer,1.23870540025566,0.0994,34.505,Free-living,Non-saline,Soil (non-saline)
1632.E3H02.r.EMPbird.v4.NoIndex.L001,0.9992944359852196,37.28454722,-2.985819444,Host-associated,Animal,Animal surface
1642.MS00449,1.2722471938994286,35.117,138.937,Host-associated,Plant,Plant rhizosphere
846.Fagna24102011Soil14C3,1.2927481861565542,43.984,11.342,Free-living,Non-saline,Soil (non-saline)
945.P5.G11.lane2.NoIndex.L002,0.8495455670820476,53.1,13.033,Free-living,Non-saline,Water (non-saline)
722.M31Fcsw.2.s.2.1.sequence,0.6745920142990857,40.015,-105.271,Host-associated,Animal,Animal distal gut
2382.SH004.C1.RH.5.624.leav.9.12.lane8.NoIndex.L008.sequences,1.9980019980019976,41.01489,-72.52841,Host-associated,Plant,Plant corpus
1064.W.CJV179,0.5946929782546222,18.22,-65.99,Host-associated,Animal,Animal corpus
678.OA.mesocosm.455,1.3569560484885188,50.338,-4.148,Free-living,Saline,Sediment (saline)
1774.L579.Vagi.Puer,0.7757405340016665,18.47,-66.11,Host-associated,Animal,Animal secretion
2192.H02a.Front.Door.Knob.893.lane2.NoIndex.L002,1.0056353002541225,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1521.SP1.s.6.1.sequences,1.0406603894281257,36.5,-118.7,Free-living,Non-saline,Soil (non-saline)
910.CuracaoCCA5B,1.2938309963184256,12.10975,-68.95636,Host-associated,Animal,Animal corpus
925.SE4x,1.123095269643567,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
1064.H.CV346,1.0025835653201418,18.22,-65.99,Host-associated,Animal,Animal corpus
1235.sp1554,1.0046134589468811,78.933,11.883,Free-living,Saline,Water (saline)
723.AcidLow1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,1.159794741983463,78.712,-104.878,Free-living,Saline,Water (saline)
678.T.RFLP.Sample.726,1.152365799020988,50.338,-4.148,Free-living,Saline,Sediment (saline)
2229.S1.T31.EH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.009665263541437,-41.9088,148.3213,Host-associated,Plant,Plant surface
659.NZFACE.R6.warm,1.0372878247063957,-40.017,175.267,Free-living,Non-saline,Soil (non-saline)
2229.W2.T33.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,0.9967575454619146,-41.8693,148.303,Host-associated,Plant,Plant surface
1242.ME01Nov07EB1R2,0.9678200246110724,43.107,-89.425,Free-living,Non-saline,Water (non-saline)
638.RMK.ENR.19.1,1.005122430224492,-77.435,162.189,Free-living,Non-saline,Water (non-saline)
945.P9.F10.lane3.NoIndex.L003,1.1380187125141368,53.517,12.7,Free-living,Non-saline,Water (non-saline)
1621.D8827,1.0019743698528234,42.444,-76.502,Host-associated,Animal,Animal distal gut
1242.ME06Aug04EB2R1,1.111888989133672,43.107,-89.425,Free-living,Non-saline,Water (non-saline)
1034.CHD9,1.0715040668464413,69.446,161.752,Free-living,Non-saline,Soil (non-saline)
940.RD.42.Oral,1.037508705781859,39.03,-108.56,Host-associated,Animal,Animal surface
2382.SH005.C3.RH.4.467.rhizo.4.12.lane7.NoIndex.L007.sequences,1.1603196529374389,41.01534,-72.52808,Host-associated,Plant,Plant rhizosphere
550.L6S261.s.6.sequence,0.8338899345710842,40.015,-105.271,Host-associated,Animal,Animal secretion
722.F11Plmr.6.s.7.1.sequence,0.9741240828221324,40.015,-105.271,Host-associated,Animal,Animal surface
550.L6S4.s.6.sequence,0.8559295766836862,40.015,-105.271,Host-associated,Animal,Animal secretion
1774.8BI22.10.09,0.9281712995622808,-2.4153,-64.9144,Host-associated,Animal,Animal surface
2229.S2.T2.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0659240736531028,-43.0077,147.9343,Host-associated,Plant,Plant surface
1622.PP.5.6B,1.0072099432101946,42.30844,-71.3412,Free-living,Non-saline,Sediment (non-saline)
1642.MS00496,1.0272226473034791,35.117,138.937,Host-associated,Plant,Plant rhizosphere
755.EFB.12.07.11.lane1.NoIndex.L001,0.9722705757663886,55.905,-3.204,Free-living,Non-saline,Water (non-saline)
2300.BB.2150.lavageRNA,0.1633650454662531,46.04625,-94.456,Host-associated,Animal,Animal distal gut
678.OA.mesocosm.389,1.0414423759777784,50.338,-4.148,Free-living,Saline,Sediment (saline)
958.O.27,0.880910657900046,40.863,14.273,Host-associated,Animal,Animal secretion
2229.S1.T2.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.11084397539576,-43.0325,147.946,Host-associated,Plant,Plant surface
1642.MS00570,0.4493804398098433,35.117,138.937,Host-associated,Plant,Plant rhizosphere
933.T.3.1.H.P.2,1.052252984565934,-43.139883,148.0017,Host-associated,Plant,Plant surface
1747.H10139.right.shoulder,0.9026493761836774,40.85,-73.867,Host-associated,Animal,Animal surface
1235.sp1288,0.994320325145812,78.933,11.883,Free-living,Saline,Water (saline)
933.W.3.1.H.E.4,1.08874627590512,-30.265983,114.58529,Host-associated,Plant,Plant surface
2229.W1.N1.7.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0082231832856186,-33.8006,151.2971,Host-associated,Plant,Plant surface
1197.SE.20101017.GY.D034S.BC.296.a,1.146780703965584,28.734822,-88.362208,Free-living,Saline,Sediment (saline)
2382.DPOO1.C1.HA.4.643.root.9.12.lane7.NoIndex.L007.sequences,1.082734859856947,41.02525,-72.46158,Host-associated,Plant,Plant rhizosphere
2382.SH008.C6.HA.1.SH008.leav.leav.9.12.lane8.NoIndex.L008.sequences,1.9987997599519904,41.01446,-72.5285,Host-associated,Plant,Plant corpus
1716.McG.PAPrS43,1.2516130690849252,9.080259764,-79.65330477,Free-living,Non-saline,Soil (non-saline)
1622.UPSub.23.24,1.4093744150178962,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1035.UQ892,0.9957298445832006,-78.047,163.704,Free-living,Non-saline,Soil (non-saline)
1748.4.24.12.FR.16.D,0.7207817708813778,40.01,-105.271,Host-associated,Animal,Animal surface
1642.MS00395,0.730558698719461,35.117,138.937,Host-associated,Plant,Plant rhizosphere
723.IC2.S3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,1.108447507317232,78.712,-104.878,Free-living,Saline,Water (saline)
2192.H06b.Kitchen.Light.Switch.3195.lane2.NoIndex.L002,0.917819920724392,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1747.DZF.6272012.KK.plastic.hide.tub,1.0483618429226624,39.74,-104.98,Host-associated,Plant,Plant corpus
1774.446.Vagi.Puer,0.8321733827454569,18.47,-66.11,Host-associated,Animal,Animal secretion
550.L1S337.s.1.sequence,0.5395473735438827,40.015,-105.271,Host-associated,Animal,Animal distal gut
2382.SH007.C6.RH.5.323.root.9.11.lane1.NoIndex.L001.sequences,1.3192618031914958,41.01494,-72.5285,Host-associated,Plant,Plant rhizosphere
722.AQC7cm.6.s.7.1.sequence,1.0056101594990745,46.038,-89.614,Free-living,Non-saline,Water (non-saline)
1222.B3.5.17.06,0.9772151335486328,60.27,5.22,Free-living,Saline,Water (saline)
925.SC5x,0.9806127473116792,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
1774.99.Inte.Puer,0.8048981541120906,18.47,-66.11,Host-associated,Animal,Animal distal gut
1235.sp1344,1.1641549313406176,78.933,11.883,Free-living,Saline,Water (saline)
2192.H07a.Bathroom.Door.Knob.3678.lane2.NoIndex.L002,0.9913485769866118,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1453.46834SDZ4.B6.Pnem.stom,1.0690447197961817,32.72,-117.16,Host-associated,Animal,Animal proximal gut
945.P5.D8.lane2.NoIndex.L002,0.97339502820098,53.167,13.033,Free-living,Non-saline,Water (non-saline)
722.TS28.1.s.1.1.sequence,0.8171904397179424,37.09,-95.713,Host-associated,Animal,Animal distal gut
2382.GM.181.R5.bulk.10.12.lane7.NoIndex.L007.sequences,1.220540520463369,45.013092,-0.786197,Free-living,Non-saline,Soil (non-saline)
1883.2008.096.Crump.Artic.LTREB.main.lane2.NoIndex,1.0257988835412015,68.601493,-149.579071,Free-living,Non-saline,Soil (non-saline)
1198.SWE16.KBB1.SS1.5,1.0787800861656478,59.583,18.2,Free-living,Saline,Sediment (saline)
846.Fagna24102011Soil4B2,1.195051766459153,43.985,11.342,Free-living,Non-saline,Soil (non-saline)
1883.2008.104.Crump.Artic.LTREB.main.lane2.NoIndex,1.0660921671466603,68.60853333,-149.587633,Free-living,Non-saline,Soil (non-saline)
550.L4S54.s.4.sequence,0.870044938326134,40.015,-105.271,Host-associated,Animal,Animal surface
550.L6S285.s.6.sequence,0.7122974008616374,40.015,-105.271,Host-associated,Animal,Animal secretion
638.VAN45.120210.2,1.0343256882484608,-77.316,161.405,Free-living,Non-saline,Water (non-saline)
1642.MS00259,1.410690517610663,35.117,138.937,Free-living,Non-saline,Soil (non-saline)
1197.SE.20101012.GY.D008S.BC.253,1.1082748569447054,27.887417,-88.626806,Free-living,Saline,Sediment (saline)
1038.DC2,1.1001440210366389,44.39,-122.14,Free-living,Non-saline,Soil (non-saline)
1883.2008.336.Crump.Artic.LTREB.main.lane2.NoIndex,1.304972948797339,68.59133,-149.611542,Free-living,Non-saline,Sediment (non-saline)
1774.9Nasal22.10.09,0.9981532068793044,-2.4153,-64.9144,Host-associated,Animal,Animal secretion
659.NZFACE.R1.Ryegrass.26.4,1.0373980830091876,-40.017,175.267,Free-living,Non-saline,Soil (non-saline)
550.L5S274.s.5.sequence,0.6909637080015331,40.015,-105.271,Host-associated,Animal,Animal secretion
1521.Sample265.s.7.1.sequences,0.9305129206898476,19.9,-155.58,Host-associated,Animal,Animal secretion
2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences,1.18784325995434,41.02543,-72.46171,Host-associated,Plant,Plant rhizosphere
1064.G.CV321,1.0517348846873051,18.22,-65.99,Host-associated,Animal,Animal corpus
776.Ant.Solo.cont.C,1.0214625956022196,-62.05,-58.24,Free-living,Non-saline,Soil (non-saline)
925.IL5x,1.7227320125130343,44.531,-110.875,Free-living,Non-saline,Surface (non-saline)
1694.St3B1.r.EMPbird.v4.NoIndex.L001,1.025124994566375,37.252803,-3.029153,Host-associated,Animal,Animal surface
1453.48000SDZ4.A2.Cang.cecum,0.933507508336864,32.72,-117.16,Host-associated,Animal,Animal proximal gut
940.CARP.25.Fecal,1.0383303721161965,39.1,-108.36,Host-associated,Animal,Animal distal gut
1694.St3G12.r.EMPbird.v4.NoIndex.L001,0.9997994987468672,37.252803,-3.029153,Host-associated,Animal,Animal surface
1481.PO5.3.T8,0.9893021275774332,40.81,14.34,Host-associated,Animal,Animal distal gut
2382.HE003.C181.HA.2.756.bulk.9.12.lane7.NoIndex.L007.sequences,1.1050105252145872,41.01036,-72.53056,Free-living,Non-saline,Soil (non-saline)
659.NZFACE.R2.Ryegrass.24.4,1.0764710990927853,-40.017,175.267,Free-living,Non-saline,Soil (non-saline)
1632.E3D01.r.EMPbird.v4.NoIndex.L001,1.0045717805273804,37.12272222,-3.618477778,Host-associated,Animal,Animal surface
804.H08.080105.Bio5slurpB1.0428.2.1,1.0977750348920583,30.124051,-42.119532,Free-living,Saline,Surface (saline)
722.LMEpi24M.2.s.2.1.sequence,1.6885007163850183,46.73,-94.686,Free-living,Non-saline,Water (non-saline)
1883.2007.241.Crump.Artic.LTREB.main.lane2.NoIndex,1.0578713376258315,68.59133,-149.611542,Free-living,Non-saline,Surface (non-saline)
1694.St2F11.Pmoss.Jstar.16s.NoIndex.sequences,1.0001475724334692,37.252803,-3.029153,Host-associated,Animal,Animal surface
1521.67.W.s.6.1.sequences,1.0373992040593376,40.02,-105.48,Free-living,Non-saline,Water (non-saline)
722.TRRsed2.1.s.1.1.sequence,1.0012726587732117,32.551,-117.112,Free-living,Non-saline,Sediment (non-saline)
2229.S1.T2.5.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0052603500184671,-43.0077,147.9343,Host-associated,Plant,Plant surface
1235.sp0342,1.0026294524792665,78.933,11.883,Free-living,Saline,Water (saline)
1642.MS00585,1.3971760201542889,35.117,138.937,Host-associated,Plant,Plant rhizosphere
2382.SH004.C1.RH.3.412.rhizo.4.12.lane7.NoIndex.L007.sequences,1.1146502965911318,41.01498,-72.52846,Host-associated,Plant,Plant rhizosphere
1692.Biofilm.B.E1.1.W.2012,1.0629754049614897,71.296,-156.766,Free-living,Non-saline,Soil (non-saline)
1222.B1.5.12.06,1.0134253453499862,60.27,5.22,Free-living,Saline,Water (saline)
933.N.2.2.H.E.5,0.9660433039509794,-35.817,150.2332,Host-associated,Plant,Plant surface
1883.2009.334.Crump.Artic.LTREB.main.lane3.NoIndex,1.1287241204534928,68.61838333,-149.5965,Free-living,Non-saline,Water (non-saline)
1632.E1D01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,0.981400591072454,37.32654722,-3.059219444,Host-associated,Animal,Animal surface
678.T.RFLP.Sample.635,1.17862748396954,50.338,-4.148,Free-living,Saline,Sediment (saline)
1240.1305BCDNA,1.05252444981235,50.15,-4.13,Free-living,Saline,Water (saline)
1747.rinca.37.101112,0.7945209421258008,33.735,-84.374,Host-associated,Animal,Animal surface
2382.RU006.C181.RH.1.780.gp.9.12.lane8.NoIndex.L008.sequences,1.999449752388575,41.00943,-72.49403,Host-associated,Plant,Plant corpus
1481.PO1.11.T8,1.089456194057628,40.9,14.2,Host-associated,Animal,Animal distal gut
2338.0701.15.E,0.997788006783446,9.75,-83.75,Host-associated,Animal,Animal distal gut
1622.UPSub.90.91,0.7270999673579266,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1622.UPMain.18.19B,1.4087725515372898,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1774.523.Vagi.Puer,0.993255200023208,18.47,-66.11,Host-associated,Animal,Animal secretion
1035.UQ867,0.9667587690630268,-78.078,164.121,Free-living,Non-saline,Soil (non-saline)
1883.2010.292A.Crump.Artic.LTREB.main.lane3.NoIndex,1.1711056496408183,68.585839,-149.622223,Free-living,Non-saline,Sediment (non-saline)
1665.RWB2011OCT25.02,0.9765450934108636,19.63999,-155.99693,Host-associated,Animal,Animal surface
550.L6S65.s.6.sequence,0.5955924774486063,40.015,-105.271,Host-associated,Animal,Animal secretion
1642.MS00360,0.7956878733278353,35.117,138.937,Host-associated,Plant,Plant rhizosphere
1235.sp1163,1.1523432449312463,78.933,11.883,Free-living,Saline,Water (saline)
1453.54374SDZ1.E4.Tcris.stom,0.9779248693830334,32.72,-117.16,Host-associated,Animal,Animal proximal gut
910.CuracaoHypoxia5,1.4503585548492883,12.10975,-68.95636,Host-associated,Animal,Animal corpus
2182.ZX0DN,0.9902008135895028,40.417,-86.875,Host-associated,Animal,Animal distal gut
910.PocLT2,1.6569291655369989,17.47185,-149.84559,Host-associated,Animal,Animal corpus
1064.H.CJV173,0.935967558244442,18.22,-65.99,Host-associated,Animal,Animal corpus
1773.Zono.capensis1.gizz,1.173734703635952,8.878333,70.491111,Host-associated,Animal,Animal proximal gut
2192.H02a.Kitchen.Floor.842.lane2.NoIndex.L002,1.0147662349835307,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1642.MS00286,1.254392210300742,35.117,138.937,Free-living,Non-saline,Soil (non-saline)
940.CR.43.Fecal,1.087884162089186,39.1,-108.36,Host-associated,Animal,Animal distal gut
1622.DP.70.71B,0.9743218740867108,42.17566,-72.7,Free-living,Non-saline,Sediment (non-saline)
2192.H06b.Kitchen.Counter.3313.lane5.NoIndex.L005,1.001408851612306,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1665.flipper.tag.39,0.9799287153996836,44.10369,-69.10893,Host-associated,Animal,Animal surface
1621.F8783,0.9416709840744132,42.444,-76.502,Host-associated,Animal,Animal distal gut
1774.8Vaginal22.10.09,1.0004009757075552,-2.4153,-64.9144,Host-associated,Animal,Animal secretion
1883.2008.419.Crump.Artic.LTREB.main.lane2.NoIndex,1.1486846018476875,68.53698,-149.2374,Free-living,Non-saline,Surface (non-saline)
894.YY1838.lane2.NoIndex.L002,1.0033747089451468,-37.53966,145.139673,Host-associated,Animal,Animal distal gut
2229.S1.N31.EH2.Thomas.CMB.Seaweed.lane5.NoIndex.L005,0.9983996342021032,-31.768,152.8089,Host-associated,Plant,Plant surface
1747.L00376.81512.back,0.8961808706257753,25.915,-97.497,Host-associated,Animal,Animal surface
1642.MS00322,1.0028196108033598,35.117,138.937,Free-living,Non-saline,Water (non-saline)
1747.200080.92812.saliva,0.9824744373613288,47.67,-122.353,Host-associated,Animal,Animal secretion
910.AcrC48,1.0082298469114654,32.52005,-117.145887,Host-associated,Animal,Animal corpus
1064.H.CV44,0.9961158996367648,18.22,-65.99,Host-associated,Animal,Animal corpus
1198.SWE06.KBA2.SS1.5,1.0682599988381816,59.583,18.2,Free-living,Saline,Sediment (saline)
662.M32,1.024760815130172,48.36,-124.57,Free-living,Saline,Water (saline)
1242.ME26Oct09EB2R1,0.8690945591221292,43.107,-89.425,Free-living,Non-saline,Water (non-saline)
940.P.12.Fecal,0.9946423654265402,39.1,-108.36,Host-associated,Animal,Animal distal gut
2229.S1.N2.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0325440443782423,-35.859,150.1811,Host-associated,Plant,Plant surface
933.W.1.3.H.E.3,1.027355836000762,-31.7778167,115.6762,Host-associated,Plant,Plant surface
2192.H02a.Nose.681.lane6.NoIndex.L006,0.9917881617979892,41.88,-87.63,Host-associated,Animal,Animal secretion
2382.SH008.C6.HA.3.111.r1.root.6.11.lane7.NoIndex.L007.sequences,1.113974775648112,41.0428,-72.52833,Host-associated,Plant,Plant rhizosphere
2338.0625.1.E,0.9826504750533556,9.75,-83.75,Host-associated,Animal,Animal distal gut
1774.2.Skin.Puer,0.9710334152322077,18.47,-66.11,Host-associated,Animal,Animal surface
1883.2007.098.Crump.Artic.LTREB.main.lane2.NoIndex,0.9750980159623284,68.59133,-149.611542,Free-living,Non-saline,Surface (non-saline)
2229.T.L.B.1.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.022967809310342,-33.9656,151.2561,Host-associated,Plant,Plant surface
925.SH3x,1.5739635018080902,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
1622.UPMain.105.106A,0.5033797687669948,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
933.W.1.1.S.E.1,1.019869691675508,-31.86453,115.707967,Host-associated,Plant,Plant surface
1198.ANT03.S1M3,1.0791558337351486,-62.231,-58.656,Free-living,Saline,Sediment (saline)
1773.Rhamp.carbo2.lgi,0.8747124838863327,6.07,61.468889,Host-associated,Animal,Animal distal gut
1642.MS00518,0.9191211439998432,35.117,138.937,Host-associated,Plant,Plant rhizosphere
776.SC.BE.T3A,1.0141617480157037,-62.05,-58.24,Free-living,Non-saline,Soil (non-saline)
1481.NA.12.T0,0.9551219505069758,40.7,14.5,Host-associated,Animal,Animal distal gut
1883.2005.078.Crump.Artic.LTREB.main.lane1.NoIndex,1.0035898510841723,68.61838333,-149.5965,Free-living,Non-saline,Water (non-saline)
755.SSFB.L1.D3.17.05.11.lane1.NoIndex.L001,1.2894089211736517,55.905,-3.203,Free-living,Non-saline,Soil (non-saline)
1030.TVF.2010.Loc2.D0.Rep3,1.1686573825943989,64.33,-145.69,Free-living,Non-saline,Soil (non-saline)
925.IL1z,1.7404580488885908,44.531,-110.875,Free-living,Non-saline,Surface (non-saline)
